ridge_lambda,lambda_label,parameter,rms_standardized_jump,mean_absolute_standardized_jump,maximum_absolute_standardized_jump,baseline_rms_standardized_jump,rms_jump_reduction_percent
3e-06,3e-06,rho,0.07361906461564424,0.055525718801291646,0.22266505419662908,1.2233622326918006,93.98223497110435
3e-06,3e-06,m,0.12022258370851538,0.07662637387535817,0.44500690476157345,0.9491779935543635,87.33403170691719
3e-06,3e-06,svi_sigma,0.13488803814984365,0.10291047814886628,0.42350437269494023,0.6669925012804988,79.7766784647677
1e-05,1e-05,w_min,0.1308949934853922,0.09073597189638015,0.491399968426995,0.4076677841820893,67.89174946752071
1e-05,1e-05,b,0.04960213327380789,0.034466102041260924,0.16819744961388924,1.2441592762365183,96.01320070338177
1e-05,1e-05,rho,0.06421281504201569,0.04719382195982076,0.22331027151234192,1.2233622326918006,94.75112004228492
1e-05,1e-05,m,0.09459426220982697,0.05724052780230721,0.3452423848812199,0.9491779935543635,90.03408603526488
1e-05,1e-05,svi_sigma,0.09015635295724847,0.06370533799972833,0.30871314578494446,0.6669925012804988,86.48315344113084
3e-05,3e-05,w_min,0.07302936970969852,0.05371910238951969,0.26052509388055933,0.4076677841820893,82.08605817204355
3e-05,3e-05,b,0.032706367854666504,0.023096429891771856,0.11455967578154826,1.2441592762365183,97.37120733017395
3e-05,3e-05,rho,0.06371920872718041,0.04321449362842662,0.2669214672468171,1.2233622326918006,94.79146837915887
3e-05,3e-05,m,0.07752071588120794,0.04645456174036153,0.27226422951812657,0.9491779935543635,91.83285786147253
3e-05,3e-05,svi_sigma,0.07198735220991367,0.04603164145008731,0.2670417592586661,0.6669925012804988,89.2071721838384
0.0001,1e-04,w_min,0.03562819142206251,0.029331961403654936,0.09996890146303561,0.4076677841820893,91.26048395176873
0.0001,1e-04,b,0.018953018364499617,0.013953054354570504,0.0593761304608907,1.2441592762365183,98.47664051327648
0.0001,1e-04,rho,0.06573241588969055,0.040339184844498915,0.28320544651365676,1.2233622326918006,94.62690492373159
0.0001,1e-04,m,0.06136689388038004,0.037189222795130185,0.21939287006862615,0.9491779935543635,93.53473275854395
0.0001,1e-04,svi_sigma,0.060152185020745326,0.03663037904638432,0.23186060080474308,0.6669925012804988,90.98158001697702
