model,n_observations,n_dates,weighted_mse_total_variance,unweighted_mse_total_variance,rmse_total_variance,pooled_iv_rmse_pp,mean_daily_iv_rmse_pp,maximum_daily_iv_rmse_pp,mean_iv_error_pp,mae_iv_pp
Independent baseline,22117,103,5.167452686319709e-06,7.405601561117426e-05,0.008605580492399931,0.75421115501224,0.7422089100037077,1.0189466111010488,-0.03555665964447519,0.4740579923016604
Final ridge (lambda=1e-06),22117,103,5.201432632154254e-06,7.537188286784896e-05,0.008681698155767048,0.7574187936369032,0.7451258539014811,1.0236697995628488,-0.0339958898159855,0.4742593261057026
