model,price_date,option_expiry,n_options,weighted_mse_total_variance,unweighted_mse_total_variance,mean_squared_iv_error,mean_iv_error_pp,mae_iv_pp,maximum_absolute_iv_error_pp,rmse_total_variance,rmse_iv_percentage_points
Final ridge (lambda=1e-06),2026-05-06,2026-12-18,215,7.511371899975232e-06,0.00018931190232341285,0.00010478998585370428,-0.04128960608018187,0.4687571226903147,11.972619549792585,0.013759066186460943,1.0236697995628488
Final ridge (lambda=1e-06),2026-05-07,2026-12-18,225,6.639414667091615e-06,0.0001782685442313701,0.00010157518097125694,-0.022681582968411995,0.479781273555964,11.474207952987282,0.01335172439167953,1.0078451318097286
Final ridge (lambda=1e-06),2026-03-10,2026-12-18,211,1.0439850973073076e-05,5.4294343034877006e-05,0.0001012075696413601,-0.1111718522497821,0.6194016533023246,4.863316397708911,0.00736846951780877,1.0060197296343651
Final ridge (lambda=1e-06),2026-05-08,2026-12-18,225,6.486232923676875e-06,0.0001677271251440632,9.719712536484592e-05,-0.028067333588023363,0.4513865614237318,10.968502160598636,0.01295095074286298,0.9858860246744849
Final ridge (lambda=1e-06),2026-05-14,2026-12-18,225,6.598644120349769e-06,0.00016445260006188084,9.485283796351901e-05,-0.027010686259412033,0.4033021479075918,10.685548695151393,0.012823907363275861,0.9739242165770344
