price_date,mean_iv_error_pp,median_iv_error_pp,q05_iv_error_pp,q95_iv_error_pp,mae_iv_pp,rmse_iv_pp
2026-01-02,-0.03127815052666322,0.021376790884225505,-0.6556782037157303,0.7867924977545043,0.4552416238663564,0.674412798535948
2026-01-05,-0.03173277819295341,0.006053398953775879,-0.6337019572172988,0.7885455489502271,0.4510476098529794,0.6761358902773411
2026-01-06,-0.030874540233303664,-0.002333547210753295,-0.6161858241223852,0.7965536784084626,0.4494036725851275,0.6975616434672198
2026-01-07,-0.031937849289560644,-0.008364624644663365,-0.6323285633402274,0.7867345586015623,0.4366952545058497,0.6085881877335567
2026-01-08,-0.022800359384764123,0.0475068856691907,-0.6357603656608313,0.7798116988151332,0.4504610764924116,0.6724070040281558
2026-01-09,-0.024923713827288314,-0.01769373169156485,-0.5980866825210664,0.7885768082748268,0.41627926126167086,0.5948517659428881
2026-01-12,-0.026355797278200158,-0.03978444357045918,-0.5893777099518647,0.7985516799272147,0.41549868845413107,0.5970984187307061
2026-01-13,-0.031214004834440524,-0.07483906027671017,-0.5855695514168688,0.8432202293993232,0.4243468454839617,0.6109141155217802
2026-01-14,-0.03019404517550342,-0.05459773283512104,-0.6490812307245137,0.825454456685154,0.4497587071580086,0.6277122923566345
2026-01-15,-0.02962880460679062,-0.043867681568560135,-0.6634888198250345,0.8491052820835274,0.4497518558221089,0.6376587414231233
2026-01-16,-0.03133185721794871,-0.057960255323652454,-0.6159610147121977,0.8422489766808663,0.4361264900993137,0.6184162731017083
2026-01-20,-0.03950925699190281,0.035369466384788106,-0.6999770878533873,0.7558869257233869,0.4676524917616878,0.6718641607802082
2026-01-21,-0.026339477150053563,-0.024122032696338724,-0.6253858993538454,0.7734502721889802,0.4446449002936871,0.7018436868918533
2026-01-22,-0.027085389207710066,-0.04086910604843563,-0.5996706374932409,0.7621495242309804,0.42721481287879864,0.68331280224663
2026-01-23,-0.02770213705682288,-0.03142460770165223,-0.6258196890891201,0.7896155931156292,0.4313257447608245,0.6700087838817159
2026-01-26,-0.0313165452331867,-0.05208345008542725,-0.6224929003504396,0.8116122043781051,0.4317374031911885,0.677248685383639
2026-01-27,-0.03643582100399899,-0.04530620544546671,-0.6296565360359031,0.8328403753777649,0.4392078354781888,0.6777380638785714
2026-01-28,-0.0349880834791224,-0.039875264932426324,-0.635000200419289,0.8357252017780398,0.4411619552652461,0.6707460477397726
2026-01-29,-0.03061450798554817,-0.0048068928453437465,-0.6288819663960734,0.8339316633045615,0.45336570289992506,0.680626958043681
2026-01-30,-0.031177058090370146,-0.06136387541285787,-0.6173837293161997,0.8282899703657822,0.42420463374353706,0.5902943335455133
2026-02-02,-0.02779991535112946,-0.026846383176608313,-0.608636796503989,0.8479064160752309,0.42938014636187505,0.6012451589158819
2026-02-03,-0.031110080301895743,0.01608869071844654,-0.6478139958589264,0.7618183425730396,0.4255075226085595,0.5735387927322954
2026-02-04,-0.03441019763180714,0.025157238180417707,-0.6616531735579495,0.7524455647235695,0.4313560548993158,0.5730391236127326
2026-02-05,-0.03779008190541899,0.053810903128703735,-0.681726610046151,0.6594291419269107,0.4421341525225013,0.6078040684911062
